كود الصنف,اسم الصنف,القسم,وحدة البيع,سعر الحبة,عدد الحبات بالكرتون,سعر الكرتون,المخزون,الرئيسي,فرع02,فرع05,معرف الصورة,عرض,جديد,وسوم,إظهار,ترتيب,ملاحظة
800-03776,شخاشيخ والعاب سرير اطفال,,حبه,48.0,12,,39,28,11,6,,,,,نعم,,
800-03778,لعبة رمي كورة السلة,,حبه,11.0,60,,233,209,24,1,,,,,نعم,,
800-03779,خرز بنات شكل ايسكريم,,حبه,8.75,144,,264,239,25,24,,,,,نعم,,
800-03780,خرز بنات شكل ملاهي,,حبه,12.5,96,,284,259,25,24,,,,,نعم,,
800-03781,مجموعة 12 عروسة بعلبة,,BOX,78.0,18,,61,53,8,6,,,,,نعم,,
800-03784,طائرة بطارية,,حبه,10.0,96,,507,471,36,24,,,,,نعم,,
800-03785,مجموعة اكسسوارات مع عروسة,,حبه,20.0,24,,13,2,11,0,,,,,نعم,,
800-03788,أدوات نجارة بعلبة,,حبه,8.75,72,,109,97,12,12,,,,,نعم,,
800-03790,العاب بطارية الدب الراقص,,حبه,19.0,60,,245,230,15,12,,,,,نعم,,
800-03791,قلابين مع خوذه وشخصيه,,حبه,11.0,60,,16,5,11,12,,,,,نعم,,
800-03792,مجموعة تقطيع فواكة بكيس,,حبه,8.75,72,,13,0,13,0,,,,,نعم,,
800-03793,سياره ريموت سبيدرمان مع دخان,,حبه,21.0,72,,15,0,15,0,,,,,نعم,,
800-03796,بروجكتر رسم شخصيات منوعة,,حبه,23.0,48,,172,163,9,12,,,,,نعم,,
800-03798,العاب رمل سطل ومغارف,,حبه,10.0,48,,276,260,16,12,,,,,نعم,,
800-03800,لعبة جاكارو مطوي بعلبة,,حبه,15.0,60,,71,37,34,12,,,,,نعم,,
800-03803,مجموعة مكوى بعلبة,,حبه,24.0,36,,15,2,13,0,,,,,نعم,,
800-03807,مجموعة فك وتركيب مع خوذة,,حبه,15.84,36,,35,19,16,12,,,,,نعم,,
800-03808,مطبخ أطفال كبير,,حبه,75.0,8,,33,23,10,4,,,,,نعم,,
800-03809,سوبر ماركت كبير,,حبه,75.0,8,,42,33,9,4,,,,,نعم,,
800-03810,تسريحة وسط,,حبه,72.0,12,,88,76,12,6,,,,,نعم,,
800-03811,مجموعة اكسسوارات سلة وعربية,,حبه,26.0,24,,31,23,8,12,,,,,نعم,,
800-03814,مجموعة حفلة مع عروسة,,حبه,10.0,60,,86,57,29,12,,,,,نعم,,
800-03815,بيتزا بعلبة,,حبه,25.0,24,,46,35,11,6,,,,,نعم,,
800-03816,شاحنة ومجموعة سيارات,,حبه,11.0,72,,53,41,12,12,,,,,نعم,,
800-03824,مسدس طلقات سوفت,,حبه,6.0,120,,51,27,24,24,,,,,نعم,,
800-03825,سيارة ودباب فك وتركيب,,حبه,20.0,36,,146,133,13,12,,,,,نعم,,
800-03834,مجموعة عروسة شعر بني,,حبه,24.0,36,,19,11,8,0,,,,,نعم,,
800-03836,مجموعة عروسة شعر اشقر,,حبه,29.0,24,,12,0,12,12,,,,,نعم,,
800-03837,مجموعة عروسة شعر بني,,حبه,29.0,24,,41,29,12,6,,,,,نعم,,
800-03841,كرت سنارة سمك,,حبه,6.0,96,,241,210,31,6,,,,,نعم,,
800-03853,لعبة زهور بناتي,,حبه,28.0,24,,84,21,63,6,,,,,نعم,,
800-03854,سطل رمل شكل قلعة ومغارف,,حبه,11.0,32,,56,40,16,12,,,,,نعم,,
800-03855,العاب رمل نافورة ومغارف,,حبه,4.34,144,,762,737,25,12,,,,,نعم,,
800-03856,العاب رمل عربية ومغارف,,حبه,9.0,60,,318,299,19,12,,,,,نعم,,
800-03860,لعبة البحث عن المطابق في الكرت,,حبه,18.0,60,,238,209,29,18,,,,,نعم,,
800-03864,بيت تركيب مقوى 42 قطعة,,حبه,12.5,72,,299,281,18,18,,,,,نعم,,
800-03865,صوف صناعة الاساور,,حبه,15.0,60,,153,117,36,12,,,,,نعم,,
800-03867,لعبة تنس ونط الحبل بعلبة,,حبه,8.75,96,,270,245,25,12,,,,,نعم,,
800-03868,لعبة تنس ولادي بناتي بعلبة,,حبه,8.25,96,,279,254,25,12,,,,,نعم,,
800-03869,بنقدية طلقات سوفت بعلبة,,حبه,22.0,36,,120,104,16,12,,,,,نعم,,
800-03873,سيارة ريموت وسط_شاص,,حبه,16.67,96,,374,361,13,12,,,,,نعم,,
800-03956,مسدس طلقات اوربيز,,حبة,8.0,192,,341,314,27,6,,,,,نعم,,
B-102,مشاية أطفال زهور وكور_00343,,حبه,43.0,7,,2,0,2,0,,,,,نعم,,
BS30422-004,كورة سلة_00360,,حبه,13.34,50,,192,182,10,6,,,,,نعم,,
DJ-03,دمية الموز النعسان قطن 60سم,,حبه,23.0,40,,8,0,8,0,,,,,نعم,,
DJ-11,نجمة بارجل قطن 45سم,,حبه,22.0,60,,2,0,2,0,,,,,نعم,,
MLT-618Y,مشاية أطفال مفرد_بطه_00357,,حبه,95.0,,,2,0,2,1,,,,,نعم,,
