كود الصنف,اسم الصنف,القسم,وحدة البيع,سعر الحبة,عدد الحبات بالكرتون,سعر الكرتون,المخزون,الرئيسي,فرع02,فرع05,معرف الصورة,عرض,جديد,وسوم,إظهار,ترتيب,ملاحظة
800-02631,سبورة رسم سحرية 8.5,,حبه,6.0,100,,9,6,3,0,,,,,نعم,,
800-02655-1,تلفون أطفال بوكس12حبة_بالحبة,,حبة,4.35,,,4,0,4,0,,,,,نعم,,
800-02669,لعبة لغز ترتيب الصور,,حبه,5.0,240,,232,221,11,6,,,,,نعم,,
800-02676,كاميرا بروجكتور بكرت,,حبه,6.0,180,,18,0,18,6,,,,,نعم,,
800-02681,لعبة ترتيب صور الحيوانات,,حبه,12.0,84,,202,185,17,6,,,,,نعم,,
800-02708,مجموعة الرسم السحري,,حبه,18.34,60,,2,0,2,0,,,,,نعم,,
800-02715,جوال تطابق الاشكال للأطفال ولادي,,حبه,10.0,120,,6,0,6,6,,,,,نعم,,
800-02732,عربية فقاعات صابون جزازة,,حبه,22.5,8,,2,0,2,0,,,,,نعم,,
800-02747,بزل صور ديناصورات بوكس 24 حبه,,BOX,30.0,30,,45,38,7,1,,,,,نعم,,
800-02748,بزل صور بوليس بوكس 24 حبه,,BOX,30.0,30,,81,74,7,1,,,,,نعم,,
800-02764,سيارات سباق على ورق مقوى سفاري,,حبه,22.0,36,,45,38,7,6,,,,,نعم,,
800-02765,سيارات سباق على ورق مقوى بحري,,حبه,22.0,36,,3,0,3,0,,,,,نعم,,
800-02827,عربية مع عروسة كبير بكيس,,حبه,16.0,48,,122,103,19,12,,,,,نعم,,
800-02841,اكسسوارات و 6 حبات تاج بناتي,,حبه,15.42,108,,213,181,32,6,,,,,نعم,,
800-02842,الة العملات المعدنية,,حبه,25.0,32,,23,0,23,0,,,,,نعم,,
800-02869,لوح كورة سلة بعلبة,,حبه,22.0,48,,25,9,16,6,,,,,نعم,,
800-02888,لعبة تطابق الاشكال بطه,,حبه,8.25,60,,98,88,10,6,,,,,نعم,,
800-02963,معارفي الأولى مجموعة تعليم,,حبه,23.0,30,,71,58,13,6,,,,,نعم,,
800-03032,عروسة مفردفسان قصير,,حبه,8.25,120,,86,74,12,6,,,,,نعم,,
800-03033,عروسة مفرد فستان قصير,,حبه,8.25,120,,169,152,17,6,,,,,نعم,,
800-03034,عروسة مفرد فستان طويل,,حبه,8.25,120,,138,121,17,6,,,,,نعم,,
800-03046,سيارة ريموت جيب دبل صغير,,حبه,34.0,36,,22,16,6,6,,,,,نعم,,
800-03063,بيانو مفرش سوبر ماريو,,حبه,12.0,144,,212,175,37,6,,,,,نعم,,
800-03069,أدوات منوعة تتحول الى رجل الي,,حبه,8.0,96,,86,61,25,6,,,,,نعم,,
800-03096,سيارة ريموت الابطال,,حبه,16.67,72,,2,0,2,6,,,,,نعم,,
800-03103,سيارة ريموت مكشوف تفتح الباب,,حبه,49.0,12,,4,0,4,0,,,,,نعم,,
800-03126,عروسة سوفت بعلبة شفاف,,حبه,29.0,24,,2,0,2,0,,,,,نعم,,
